unique_id,name,gender,age,area,marital_Status,qualification,income,occupation,policy,months_as_customer,cls,umbrella_limit,annual_premium,capital_loss,capital_gain,total_claim,fraud_reason,fraud,date,location
86117e02-52cc-48a5-b264-ffedb541eb7b,Kamren Bogisich,Female,34,Free State,Divorced,High School,6489.00,Teller and Cashier,Funeral Cover,12,25447,40068,1248,1218,323,12978,Murder For Claims,Y,2021-03-01,-23.0247987|30.4209434
b45db7d7-8f7d-491c-8d3c-91c09752fee6,Verna Schoen,Female,57,North West,Divorced,High School,2000.00,Security Guard,Standard Legal Plan,20,77848,50043,4966,1269,697,4000,,N,2022-06-01,-23.0247987|30.4209434
b9946f98-8b43-4f7d-b93a-64415a95bcc8,Quincy Heaney,Female,35,Western Cape,Single,High School,6489.00,Teller and Cashier,Funeral Cover,7,28423,33764,588,2924,229,12978,,N,2023-04-01,-34.1447497|18.319808
3b8f8b1d-14e4-4394-955c-70daf82a3989,Kacey Conroy,Male,49,North West,Divorced,High School,8283.00,Ticketing clerk,Funeral Cover,22,16209,35682,1384,621,402,16566,,N,2023-08-01,-23.0226805|30.4174785
6b0a82e5-3d7a-4cfe-acde-5ceaac568143,Octavia Mraz,Female,30,Gauteng,Married,High School,3000.00,Domestic Worker,Funeral Cover,20,27174,35194,1635,505,497,6000,,N,2023-08-01,-25.6834813|28.2365949
fe69dd04-3f3a-4a4f-afe5-a45f1831cdcb,Claire Hegmann,Male,40,Northern Cape,Single,Bachelor,10552.00,Switchboard and Receptionist,Standard Legal Plan,53,66046,66410,3786,3059,583,21104,,N,2023-02-01,-23.0247987|30.4209434
965e48ba-9da8-482c-834f-9eacf3c7c922,Enola Balistreri,Male,31,Limpopo,Single,Bachelor,14628.00,Nurse,Funeral Cover,57,14042,36615,1777,984,333,29256,,N,2023-07-01,-23.0247987|30.4209434
fed0a81d-075d-42d7-ac9a-40a7327c4797,Rod Mayert,Female,39,Western Cape,Divorced,High School,6489.00,Teller and Cashier,Funeral Cover,19,15667,33088,1494,2770,300,12978,Faked death,Y,2023-07-01,-34.1438715|18.3216871
80bb8df4-d27b-45b7-af73-1cb707d91c3c,Santa Muller,Female,42,Free State,Divorced,High School,10552.00,Switchboard and Receptionist,Funeral Cover,19,24798,42346,1650,2425,618,21104,Murder For Claims,Y,2023-08-01,-23.0226805|30.4174785
e7404251-fec5-4f26-9916-e6ffa7f98616,Noemy Macejkovic,Female,35,Mpumalanga,Married,High School,11411.00,Clients and Customer Support,Funeral Cover,23,28148,44880,915,1407,358,22822,Faked death,Y,2021-02-01,-23.0247987|30.4209434
5e5cd1eb-9c53-4b5d-ac2a-71e54a694398,Evelyn Wisozk,Female,46,Western Cape,Married,PhD,45327.25,Financial manager,H.E.L.P Cover,56,51100,68865,3132,1709,849,68865,,N,2022-04-01,-34.1438604|18.3216871
