unique_id,name,gender,age,area,marital_Status,qualification,income,occupation,policy,months_as_customer,cls,umbrella_limit,annual_premium,capital_loss,capital_gain,total_claim,fraud_reason,fraud,date,location,address
86117e02-52cc-48a5-b264-ffedb541eb7b,Kamren Bogisich,Female,34,Free State,Divorced,High School,6489.00,Teller and Cashier,Funeral Cover,12,25447,40068,1248,1218,323,12978,Murder For Claims,Y,2021-03-01,-23.0247987|30.4209434,{"hash":"e54fae209140f918","number":"","street":"","unit":"","city":"Dzindi","district":"","region":"Thulamela","postcode":"","id":"96610261_9610233"}
b45db7d7-8f7d-491c-8d3c-91c09752fee6,Verna Schoen,Female,57,North West,Divorced,High School,2000.00,Security Guard,Standard Legal Plan,20,77848,50043,4966,1269,697,4000,,N,2022-06-01,-23.0247987|30.4209434,{"hash":"e54fae209140f918","number":"","street":"","unit":"","city":"Dzindi","district":"","region":"Thulamela","postcode":"","id":"96610261_9610233"}
b9946f98-8b43-4f7d-b93a-64415a95bcc8,Quincy Heaney,Female,35,Western Cape,Single,High School,6489.00,Teller and Cashier,Funeral Cover,7,28423,33764,588,2924,229,12978,,N,2023-04-01,-34.1447497|18.319808,{"hash":"cceab09f839b38c0","number":"1","street":"NERINA Avenue","unit":"","city":"","district":"","region":"","postcode":"","id":""}
3b8f8b1d-14e4-4394-955c-70daf82a3989,Kacey Conroy,Male,49,North West,Divorced,High School,8283.00,Ticketing clerk,Funeral Cover,22,16209,35682,1384,621,402,16566,,N,2023-08-01,-23.0226805|30.4174785,{"hash":"b9a13466e7406c14","number":"","street":"","unit":"","city":"Dzindi","district":"","region":"Thulamela","postcode":"","id":"96610261_9610234"}
6b0a82e5-3d7a-4cfe-acde-5ceaac568143,Octavia Mraz,Female,30,Gauteng,Married,High School,3000.00,Domestic Worker,Funeral Cover,20,27174,35194,1635,505,497,6000,,N,2023-08-01,-25.6834813|28.2365949,{"hash":"6e057e871591aee5","number":"611","street":"VILLA TRIANTA PLACE","unit":"","city":"","district":"","region":"","postcode":"","id":""}
fe69dd04-3f3a-4a4f-afe5-a45f1831cdcb,Claire Hegmann,Male,40,Northern Cape,Single,Bachelor,10552.00,Switchboard and Receptionist,Standard Legal Plan,53,66046,66410,3786,3059,583,21104,,N,2023-02-01,-23.0247987|30.4209434,{"hash":"e54fae209140f918","number":"","street":"","unit":"","city":"Dzindi","district":"","region":"Thulamela","postcode":"","id":"96610261_9610233"}
965e48ba-9da8-482c-834f-9eacf3c7c922,Enola Balistreri,Male,31,Limpopo,Single,Bachelor,14628.00,Nurse,Funeral Cover,57,14042,36615,1777,984,333,29256,,N,2023-07-01,-23.0247987|30.4209434,{"hash":"e54fae209140f918","number":"","street":"","unit":"","city":"Dzindi","district":"","region":"Thulamela","postcode":"","id":"96610261_9610233"}
fed0a81d-075d-42d7-ac9a-40a7327c4797,Rod Mayert,Female,39,Western Cape,Divorced,High School,6489.00,Teller and Cashier,Funeral Cover,19,15667,33088,1494,2770,300,12978,Faked death,Y,2023-07-01,-34.1438715|18.3216871,{"hash":"f46d575a9af6206f","number":"4","street":"PROTEA Avenue","unit":"","city":"","district":"","region":"","postcode":"","id":""}
80bb8df4-d27b-45b7-af73-1cb707d91c3c,Santa Muller,Female,42,Free State,Divorced,High School,10552.00,Switchboard and Receptionist,Funeral Cover,19,24798,42346,1650,2425,618,21104,Murder For Claims,Y,2023-08-01,-23.0226805|30.4174785,{"hash":"b9a13466e7406c14","number":"","street":"","unit":"","city":"Dzindi","district":"","region":"Thulamela","postcode":"","id":"96610261_9610234"}
e7404251-fec5-4f26-9916-e6ffa7f98616,Noemy Macejkovic,Female,35,Mpumalanga,Married,High School,11411.00,Clients and Customer Support,Funeral Cover,23,28148,44880,915,1407,358,22822,Faked death,Y,2021-02-01,-23.0247987|30.4209434,{"hash":"e54fae209140f918","number":"","street":"","unit":"","city":"Dzindi","district":"","region":"Thulamela","postcode":"","id":"96610261_9610233"}
5e5cd1eb-9c53-4b5d-ac2a-71e54a694398,Evelyn Wisozk,Female,46,Western Cape,Married,PhD,45327.25,Financial manager,H.E.L.P Cover,56,51100,68865,3132,1709,849,68865,,N,2022-04-01,-34.1438604|18.3216871,{"hash":"b5b882000c33369f","number":"4","street":"PROTEA Avenue","unit":"","city":"","district":"","region":"","postcode":"","id":""}
5e5cd1eb-9c53-4b5d-ac2a-71e54a694398,Evelyn Wisozk,Female,46,Western Cape,Married,PhD,45327.25,Financial manager,Standard Legal Plan,56,88705,95021,2955,3187,877,159519.5,,N,2021-01-01,-34.1438604|18.3218578,{"hash":"ba6bd8a0074f59c8","number":"6","street":"PROTEA Avenue","unit":"","city":"","district":"","region":"","postcode":"","id":""}
1b2a39be-b217-4feb-badc-7c5c7c745389,Jerald Hudson,Female,59,Gauteng,Single,High School,2100.00,Taxi Driver,Funeral Cover,28,17853,48240,1111,1629,463,4200,,N,2021-12-01,-26.2344841|28.3692875,{"hash":"e7aed5678c546202","number":"466","street":"VOORTREKKER ROAD","unit":"","city":"","district":"BRAKPAN","region":"","postcode":"","id":""}
ed0ec8d2-9cab-4d27-a945-6822c3a5239c,Jerome Parisian,Female,51,KwaZulu-Natal,Divorced,Master,18000.00,Teacher,H.E.L.P Cover,35,81520,72851,2156,2393,754,36000,,N,2022-02-01,-29.9433834|30.9249571,{"hash":"a05599095cc7259d","number":"72","street":"JOSIA MAPHOLOBA ROAD","unit":"","city":"","district":"","region":"","postcode":"","id":""}
be530c93-be4b-46c1-88cf-1f8d7c3c554d,Amely Keeling,Male,42,Northern Cape,Married,High School,2500.00,Cosmetology and Hairdressing,Standard Legal Plan,12,83291,69588,4131,2259,941,5000,Misrepresentation of legal cases,Y,2022-06-01,-23.0226805|30.4174785,{"hash":"b9a13466e7406c14","number":"","street":"","unit":"","city":"Dzindi","district":"","region":"Thulamela","postcode":"","id":"96610261_9610234"}
78090f5d-36b7-47ff-9b01-4e07fd631d84,Aurore Fisher,Female,50,Western Cape,Divorced,High School,2500.00,Cosmetology and Hairdressing,Standard Legal Plan,56,73622,84451,2784,2772,521,5000,,N,2021-09-01,-34.1440735|18.3218574,{"hash":"2c2bc1ca0871668a","number":"11","street":"DISA Avenue","unit":"","city":"","district":"","region":"","postcode":"","id":""}
ce7fc0a9-93ac-445e-8cd5-a8183d3899a9,Newton Maggio,Male,27,Free State,Single,High School,11411.00,Clients and Customer Support,Funeral Cover,29,29900,42438,1107,913,516,22822,Faked death,Y,2021-12-01,-23.0229788|30.4175523,{"hash":"febdd2361ffb3dfc","number":"","street":"","unit":"","city":"Dzindi","district":"","region":"Thulamela","postcode":"","id":"96610261_9610235"}
569aa2ad-5864-4cff-8b77-6bc62f138518,Nathan Nikolaus,Female,31,Western Cape,Single,High School,6489.00,Teller and Cashier,Funeral Cover,47,12071,35418,704,2159,350,12978,,N,2023-01-01,-34.1439109|18.3215164,{"hash":"807862713169d0cb","number":"2","street":"PROTEA Avenue","unit":"","city":"","district":"","region":"","postcode":"","id":""}
1390b0a7-985a-4e9b-b237-0a10ec3fab9f,Aubree Wisoky,Male,55,KwaZulu-Natal,Divorced,High School,10552.00,Switchboard and Receptionist,Funeral Cover,20,27663,40003,1163,2214,623,21104,False documentation,Y,2021-02-01,-29.812486|30.8778757,{"hash":"a9b72ec027bd87e3","number":"1","street":"PROGRESS ROAD","unit":"","city":"","district":"","region":"","postcode":"","id":""}
749397ce-4e7d-4ddd-a4ee-d6ef7e499179,Verdie Ondricka-Hettinger,Male,48,KwaZulu-Natal,Single,High School,10261.00,Data Capturing,Standard Legal Plan,28,62919,57168,2544,4576,672,20522,,N,2023-11-01,-29.8169035|30.879905,{"hash":"dc2544ea94b7b308","number":"21","street":"BLAIR ROAD","unit":"","city":"","district":"","region":"","postcode":"","id":""}
684f664e-f8e4-42d1-b872-c8a8516e58f1,Arch Kris,Female,65,Free State,Married,High School,11411.00,Clients and Customer Support,Funeral Cover,56,20772,41645,1250,1157,643,22822,,N,2021-06-01,-23.0061804|30.3583566,{"hash":"49c94ebcca803db9","number":"","street":"","unit":"","city":"Thulamela NU","district":"","region":"Thulamela","postcode":"","id":"96610212_9610236"}
3bb55f44-dd64-4d31-b06e-eaa2836b7b8b,Fabian Schmeler,Female,45,Eastern Cape,Single,Bachelor,40943.17,Cyber security engineer,Standard Legal Plan,14,99571,78732,4285,1536,683,78732,,N,2021-05-01,-33.7950533|25.3869171,{"hash":"d0b3ae71430fc595","number":"66","street":"Zuba Crescent","unit":"","city":"","district":"","region":"","postcode":"","id":""}
46527f8c-1585-4811-ac92-eb3c016aa0b2,Liza Kling,Female,57,KwaZulu-Natal,Divorced,High School,6489.00,Teller and Cashier,Standard Legal Plan,46,75415,53374,4700,1686,569,12978,,N,2021-07-01,-29.9987819|30.8923914,{"hash":"e81ff98f782269be","number":"46","street":"MALUKAZI DRIVE","unit":"","city":"","district":"","region":"","postcode":"","id":""}
0c18886a-1213-49e1-b0f8-6e9fe1f31b35,Rocky Roberts,Male,27,Gauteng,Married,High School,2000.00,Security Guard,Funeral Cover,27,16937,36002,1062,1948,217,4000,,N,2023-03-01,-26.3843416|28.1744494,{"hash":"627f02e318838f09","number":"7066","street":"PISCES STREET","unit":"","city":"","district":"MOLELEKI","region":"","postcode":"","id":""}
1682b066-003e-43ad-89da-59b6d5cc5560,Victor Fadel,Male,66,KwaZulu-Natal,Single,Bachelor,10261.00,Data Capturing,Standard Legal Plan,45,98496,85249,4086,4288,596,20522,,N,2022-11-01,-29.7344337|31.0802287,{"hash":"b09d5966390fd734","number":"67","street":"CHARTWELL DRIVE","unit":"","city":"","district":"","region":"","postcode":"","id":""}
1399d765-7be7-4e9c-9614-7744cda5b1e8,Shanna Farrell,Female,37,Limpopo,Married,High School,2000.00,Security Guard,Standard Legal Plan,47,95876,66578,3811,1412,963,4000,,N,2022-02-01,-23.0226805|30.4174785,{"hash":"b9a13466e7406c14","number":"","street":"","unit":"","city":"Dzindi","district":"","region":"Thulamela","postcode":"","id":"96610261_9610234"}
ab2e1a3f-7c76-4846-9e8e-860468855d87,Salvatore Jast,Male,52,Northern Cape,Divorced,High School,2500.00,Cosmetology and Hairdressing,Standard Legal Plan,44,87623,83548,2692,2221,844,5000,,N,2021-12-01,-23.0229788|30.4175523,{"hash":"febdd2361ffb3dfc","number":"","street":"","unit":"","city":"Dzindi","district":"","region":"Thulamela","postcode":"","id":"96610261_9610235"}
ee030b79-5b11-471c-8afc-1598661019e7,Abagail Bogisich,Male,43,Western Cape,Married,High School,3000.00,Domestic Worker,Domestic Worker Cover,21,29685,32061,1365,1592,300,6000,,N,2023-05-01,-34.1441521|18.3209649,{"hash":"3564a39f0ce1e8ed","number":"1","street":"DISA Avenue","unit":"","city":"","district":"","region":"","postcode":"","id":""}
adddd803-1069-41cd-9e94-b60a16904748,Verla Bechtelar,Female,38,Eastern Cape,Married,High School,2100.00,Taxi Driver,Funeral Cover,45,27810,45883,1317,1318,336,4200,,N,2021-06-01,-33.8945372|25.5601266,{"hash":"4c152667be62473a","number":"","street":"Saffraan Avenue","unit":"","city":"","district":"","region":"","postcode":"","id":""}
8e29abae-55d3-4769-8fcf-98542db6cf37,Imogene McCullough,Female,55,KwaZulu-Natal,Married,High School,11653.00,Telesales and Telemarketing,Funeral Cover,48,22700,43670,607,1709,389,23306,False documentation,Y,2023-07-01,-30.2045832|30.7479765,{"hash":"3b29a54275dae4b4","number":"1031","street":"R197 ROUTE","unit":"","city":"","district":"","region":"","postcode":"","id":""}
ff88bf8d-547f-4baf-ad09-adf8c57d77c9,Abel Jacobs,Female,67,Gauteng,Single,Master,41789.50,Chartered accountant,Standard Legal Plan,47,54871,73410,3965,1793,698,73410,,N,2023-06-01,-26.3266186|28.1928235,{"hash":"6c6624acd201968b","number":"213","street":"MONOMANE CRESCENT","unit":"","city":"","district":"VOSLOORUS","region":"","postcode":"","id":""}
ff88bf8d-547f-4baf-ad09-adf8c57d77c9,Abel Jacobs,Female,67,Gauteng,Single,Master,41789.50,Chartered accountant,H.E.L.P Cover,47,93023,73332,2216,3336,566,146742,,N,2022-02-01,-26.1125684|28.2617908,{"hash":"d1571a6ff36b122d","number":"12","street":"ESSENDON AVENUE","unit":"","city":"","district":"BONAEROPARK","region":"","postcode":"","id":""}
